Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00054034,5.1289E-09,0.28559,0,0,0,6.0461,0.02261,1.2023E-09,2.1633E-10,0.02261,-4.0683E-10,0.039117,0,0,0,0,0,0,package://CR-003_3rd/meshes/base_link.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://CR-003_3rd/meshes/base_link.STL,,CR-003-001-1;CR-003-004-4;CR-003-004-5;CR-003-002-1;CR-003-004-1;CR-003-003-1;CR-003-005-a-2;CR-003-006-4;CR-003-014 BearingHolder2-2;CR-003-013 BearingHolder1-2;CR-003-005-a-3;CR-003-006-5;CR-003-014 BearingHolder2-3;CR-003-013 BearingHolder1-3;CR-003-005-a-1;CR-003-006-1;CR-003-014 BearingHolder2-1;CR-003-013 BearingHolder1-1,base_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steering_1_link,0.00045928,-9.1606E-12,0.12605,0,0,0,0.53024,0.00056656,-1.8538E-13,-7.4564E-08,0.00052285,7.8557E-14,0.00030054,0,0,0,0,0,0,package://CR-003_3rd/meshes/steering_1_link.STL,0,0.5,1,1,0,0,0,0,0,0,package://CR-003_3rd/meshes/steering_1_link.STL,,CR-003-FORK-1/CR-003-020 wheel-steering-shaft-1;CR-003-FORK-1/CR-003-016 FORK-2-1;CR-003-FORK-1/CR-003-015 FORK-1-2;CR-003-FORK-1/CR-003-017 FORK-3-2;CR-003-FORK-1/CR-003-021 wheel-shaft-1;CR-003-FORK-1/bearing-1-1;CR-003-FORK-1/bearing-1-2,steer_1_coord,,steering_1_joint,revolute,0.38905,0,0.23038,3.1416,0,0,base_link,0,0,1,10,10,-0.785,0.785,,,,,,,,
wheel_1_link,-0.025,-2.7756E-17,-5.2963E-19,0,0,0,0.3566,0.00048671,2.1534E-20,-6.1158E-21,0.00031774,-2.7551E-22,0.00031755,0,0,0,0,0,0,package://CR-003_3rd/meshes/wheel_1_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://CR-003_3rd/meshes/wheel_1_link.STL,,CR-003-FORK-1/CR-003-wheel-1,wheel_1_coord,,wheel_1_joint,continuous,0.025,0,0.17497,-1.5708,0,0,steering_1_link,1,0,0,10,10,,,,,,,,,,
steering_2_link,0.00034687,-0.00030104,0.12605,0,0,0,0.53024,0.00054778,-2.1637E-05,-5.6313E-08,0.00054163,4.8874E-08,0.00030054,0,0,0,0,0,0,package://CR-003_3rd/meshes/steering_2_link.STL,0,0.5,1,1,0,0,0,0,0,0,package://CR-003_3rd/meshes/steering_2_link.STL,,CR-003-FORK-2/CR-003-020 wheel-steering-shaft-1;CR-003-FORK-2/bearing-1-1;CR-003-FORK-2/CR-003-017 FORK-3-2;CR-003-FORK-2/CR-003-016 FORK-2-1;CR-003-FORK-2/CR-003-021 wheel-shaft-1;CR-003-FORK-2/bearing-1-2;CR-003-FORK-2/CR-003-015 FORK-1-2,steer_2_coord,,steering_2_joint,revolute,-0.19453,0.33693,0.23038,3.1416,0,2.0944,base_link,0,0,1,10,10,-0.785,0.785,,,,,,,,
wheel_2_link,-0.025,0,5.5511E-17,0,0,0,0.3566,0.00048671,2.2267E-20,4.0658E-20,0.00031774,-9.0783E-22,0.00031755,0,0,0,0,0,0,package://CR-003_3rd/meshes/wheel_2_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://CR-003_3rd/meshes/wheel_2_link.STL,,CR-003-FORK-2/CR-003-wheel-1,wheel_2_coord,,wheel_2_joint,continuous,0.018881,-0.016386,0.17497,-1.5708,0,-0.71479,steering_2_link,1,0,0,10,10,,,,,,,,,,
steering_3_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://CR-003_3rd/meshes/steering_3_link.STL,0,0.5,1,1,0,0,0,0,0,0,package://CR-003_3rd/meshes/steering_3_link.STL,,CR-003-FORK-3/CR-003-020 wheel-steering-shaft-1;CR-003-FORK-3/CR-003-015 FORK-1-2;CR-003-FORK-3/CR-003-017 FORK-3-2;CR-003-FORK-3/CR-003-016 FORK-2-1;CR-003-FORK-3/CR-003-021 wheel-shaft-1;CR-003-FORK-3/bearing-1-2;CR-003-FORK-3/bearing-1-1,steer_3_coord,,steering_3_joint,revolute,-0.19453,-0.33693,0.23038,3.1416,0,-2.0944,base_link,0,0,1,10,10,-0.785,0.785,,,,,,,,
wheel_3_link,-0.025,-2.7756E-17,0,0,0,0,0.3566,0.00048671,2.3818E-20,2.7105E-20,0.00031774,-1.7287E-21,0.00031755,0,0,0,0,0,0,package://CR-003_3rd/meshes/wheel_3_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://CR-003_3rd/meshes/wheel_3_link.STL,,CR-003-FORK-3/CR-003-wheel-1,wheel_3_coord,,wheel_3_joint,continuous,0.013555,0.021006,0.17497,-1.5708,0,0.99773,steering_3_link,1,0,0,10,10,,,,,,,,,,
